word,word_meaning,cefr_rating
veganism,"Strict veganism prohibits the use of all animal products, not just food, and is a lifestyle choice rather than a diet.",-1
individualism,Her approach is highly individualistic and may not be suitable for everyone.,-1
rapture,He listened to the music with an expression of pure rapture on his face.,-1
emcee,He was emcee of the live New Year’s Eve show.,-1
interchangeably,The fuels can be mixed or used interchangeably,-1
fistfight,The boys got into a fistfight.,-1
signifier,The image of Santa Claus is a cultural signifier of Christmas.,-1
muzzle,Dangerous dogs should be muzzled.,-1
equestrian,They plan to hold the Olympics’ equestrian events in another part of the city.,-1
squib,The purpose of this squib is to argue against this strong position.,-1
racecourse,"Our racing will become a very small, sordid and rather unworkable thing unless something is done to help the racecourses.

From the Hansard archive",-1
bombastic,a bombastic preacher,-1
professorial,He retains an almost professorial air.,-1
tranquilly,He said voters should go to the polls calmly and tranquilly.,-1
understated,"He’s very elegant, in an understated way.",-1
legation,The UK has sent a legation to discuss trade and tariffs.,-1
authorization,Medical records cannot be disclosed without authorization from the patient.,-1
guiding,Our lawyer guided us through the more complicated questions on the form.,-1
mauve,"In the grounds is a lily pond dabbed with white, pink, and mauve flowers.",-1
renewed,"renewed bid/effort to do sth Opec lifted supply quotas yesterday by 4%, in a renewed bid to force down stubbornly high crude prices.",-1
symphonic,symphonic music,-1
serried,We flew over the city with its serried ranks of identical grey houses.,-1
eau de cologne,Can you give me five minutes to lie down quite flat and dab my forehead with eau de cologne?,-1
studied,"After a pause, he gave a studied answer.",-1
gizmo,electronic gizmos,-1
defiant,a defiant attitude/gesture,-1
collate,to collate data/information,-1
uncivilized,"He described the punishment as ""barbaric and uncivilized"".",-1
tenaciously,He fought tenaciously to keep his job.,-1
frothing,The waves frothed as they crashed onto the beach.,-1
clownfish,"In turn, the anemone provides the clownfish with shelter.

From Wikipedia",-1
ruination,Alcohol was the ruination of him.,-1
reactivity,"Thus, the maladaptive patterns of behavioral and emotional self-regulation, and reactivity to the demands of the surrounding environment, become more entrenched.",-1
foible,We all have our little foibles.,-1
amino acid,For two compounds (glycerol and glyceric acid) abundances were determined on the same order of magnitude as for the amino acid glycine.,-1
crowding,"I need some time to do this work properly, so don’t crowd me.",-1
anode,"It may act as an ion going wholly to the anode or cathode, but does not yield up its elements, except occasionally by a secondary action.",-1
irritant,The report is bound to add a new irritant to international relations.,-1
flack,They hired a PR flack to protect their public image.,-1
snarky,There was some idiot at the back of the room making snarky comments.,-1
countermand,"As your superior, I countermanded that will!",-1
carte blanche,The landlord has given her carte blanche to redecorate the living room.,-1
shimmy,She shimmied across the dance floor.,-1
grease,The dinner plates were thick with grease.,-1
deterioration,We cannot allow continued deterioration of our production standards.,-1
ennoble,He has this theory that suffering can ennoble a person’s character.,-1
published,She’s just had an article published in their weekend supplement.,-1
spendthrift,Max was a spendthrift and a heavy gambler.,-1
mange,"In particular, canines are susceptible to infection and mange is a highly contagious disease among dogs.",-1
sexualize,"She launched an outspoken attack on the music industry for the ""overtly sexualized"" nature of many live performances and videos.",-1
settled,"Now that the children are settled at school, we don’t really want to move again.",-1
oratory,The prime minister has a reputation for powerful oratory.,-1
broaden,The track broadens and becomes a road at this point.,-1
dressing,You have to change the dressing every day.,-1
eloquent,She made an eloquent appeal for action.,-1
miffed,She hadn’t called for a week and I was getting miffed.,-1
accentuation,Accentuation when reading poetry is very important.,-1
mumbling,She mumbled something about being too busy.,-1
internecine,internecine war/warfare,-1
passerby,A passer-by saw smoke and called the fire department.,-1
augment,He would have to find work to augment his income.,-1
metabolic,The athletes had taken pills to stimulate their metabolic rate (= the speed at which their bodies used energy).,-1
fend,"The corporation will no longer receive a government subsidy, and must fend for itself financially.",-1
cementation,"These smallest fabric elements most likely are formed by the early cementation of a complex consortium of mat-building cyanobacteria, heterotrophic bacteria and eucaryotic algae.",-1
checkpoint,Checkpoint Charlie was the most famous border crossing between East and West Berlin.,-1
scaremonger,"Only scaremongers who are seeking to make political capital out of the situation are peddling such malicious and unjustified rumours.

From the Hansard archive",-1
breadfruit,Overhead three breadfruit trees interlaced their noble branches.,-1
carmaker,"Sales of new cars and trucks appear to be slowing down, causing carmakers to cut production.",-1
lymphocyte,Dose-response changes in plasma cortisol and lymphocyte glucocorticoid receptors following dexamethasone administration in combat veterans with and without posttraumatic stress disorder.,-1
zip wire,"Activities include archery, zip wire, and abseiling.",-1
armillary sphere,Several different types of globes and armillary spheres were invented by Muslim astronomers.,-1
funnily,His face seems foreign and funnily familiar at the same time.,-1
seam,"The bags we sell have very strong seams, so they will last for years.",-1
moralistic,"Drug addicts need sympathetic, not moralistic, treatment.",-1
rotunda,"It has a very fine rotunda and also contains a valuable collection of chattels.

From the Hansard archive",-1
accusing,an accusing glance/look,-1
recreating,They plan to recreate a typical English village in Japan.,-1
woo,The party has been trying to woo the voters with promises of electoral reform.,-1
ably,He performs his duties very ably.,-1
summery,Clare walked by looking very summery in a pale blue sundress.,-1
superciliously,He glanced at them superciliously.,-1
maven,Walter’s a baseball maven and knows Hank Aaron’s statistics by heart.,-1
perpetual,They lived in perpetual fear of being discovered.,-1
mangle,My sweater got mangled in the washing machine.,-1
cronyism,An inevitable consequence of this concentration was increased cronyism and corruption.,-1
affluence,This period saw the increase of real wages and affluence in British society.,-1
offending,"""There’s a hair in my soup!"" ""Well, pass it over here and I’ll remove the offending article.""",-1
lather,"Wet the hair, apply shampoo, and massage into a rich lather.",-1
attacking,He was attacked and seriously injured by a gang of youths.,-1
cashier,"She started as a cashier making $6.50 an hour, then moved up to customer service manager, making $7.65 an hour.",-1
magnate,a well-known shipping magnate,-1
protract,I have no desire to protract the process.,-1
touted,The minister has been touting these ideas for some time.,-1
confection,"On the table were all the dishes, confections, and beverages preferred by our parents.",-1
topical,a topical joke,-1
oily,an oily liquid,-1
metaphorical,Her second novel is written in a very metaphorical style.,-1
deranged,a deranged criminal/mind/personality,-1
protean,the protean talents of this comedian,-1
affiliation,The group has affiliations with several organizations abroad.,-1
tusker,This is where Kenya’s giant tuskers wander freely against the stunning backdrop of Kilimanjaro.,-1
rectitude,"An austere man of unquestioned moral rectitude, Nava inspired deep devotion in those who worked for him.",-1
impale,The dead deer was impaled on a spear.,-1
cobalt,"Because of cobalt’s toxicity, no more than five injections were made in any given site.",-1
startle,She was concentrating on her book and his voice startled her.,-1
espy,She suddenly espied someone waving at her from the window.,-1
hypnotize,She agreed to be hypnotized to try to remember what had happened.,-1
luxuriantly,The park is luxuriantly full of vegetation.,-1
rippling,The breeze rippled the water.,-1
evader,The US loses $70 billion annually to tax evaders.,-1
spook,The film was dreadful - all spooks and vampires.,-1
appease,She claimed that the government had only changed the law in order to appease their critics.,-1
flashy,flashy clothes,-1
willed,She willed herself to remember his name.,-1
interrogative,"""Who"" and ""why"" are interrogatives.",-1
romanesque,The twelfth-century church is one of the most outstanding examples of Italian Romanesque.,-1
saucy,a saucy remark/manner/look,-1
figment,Was it just a figment of my imagination or did I hear John’s voice in the other room?,-1
waken,I shook him but he didn’t waken.,-1
wedlock,The women whose illegitimate children were boarded out in 1830 -1837 were usually middleaged women with more than one child born out of wedlock.,-1
commendable,commendable efforts/behaviour/bravery,-1
punning,Too clever by half - and yet punning is simply putting things together in a witty and unexpected way.,-1
arty,She hangs out with a lot of arty types.,-1
capitulate,Their forces capitulated five hours after the bombardment of the city began.,-1
clown,"Left alone, the class threw books, pulled faces, and generally clowned around.",-1
waterlogged,The game was cancelled because of a waterlogged pitch.,-1
exploitable,The coal mine is no longer commercially exploitable.,-1
tanker,an oil tanker,-1
movable,a chair with movable armrests,-1
pantheon,Don’t you agree that Malcolm X definitely has a place in the pantheon of black civil rights heroes?,-1
rationing,fuel rationing,-1
thickening,Thicken the sauce with a little flour.,-1
glossy,She has wonderfully glossy hair.,-1
uncluttered,"A clean, uncluttered home will always appear elegant.",-1
successively,The next three series got successively lower ratings.,-1
monogamy,a monogamous relationship,-1
cane,[ U ] Chair seats are often woven out of cane.,-1
slough,Snakes slough their skin regularly.,-1
unproven,It would be unwise to throw billions at unproven technology.,-1
séance,They’re holding a séance this evening.,-1
rallying,Supporters/Opponents of the new shopping development are trying to rally local people in favour of/against it.,-1
dissidence,Dissidence has been met with steady opposition.,-1
elan,She dances the role with such elan.,-1
impugn,Are you impugning my competence as a professional designer?,-1
amoebic,amoebic dysentery,-1
recluse,He is a millionaire recluse who refuses to give interviews.,-1
revitalization,A new indoor sports arena has played a key role in the revitalization of its neighborhood.,-1
recital,I went to a violin recital today.,-1
epitomize,"With little equipment and unsuitable footwear, she epitomizes the inexperienced and unprepared mountain walker.",-1
misconstrue,She said Harris had misconstrued her comments.,-1
presumptuous,It would be presumptuous of me to comment on the matter.,-1
dogmatism,There is a note of dogmatism in the book.,-1
turncoat,"It is also true that one of the principle informers is a turncoat.

From the Hansard archive",-1
unearned,unearned income,-1
abetment,Such acts will be treated as abetment to fraud.,-1
vehement,"Despite vehement opposition from his family, he quit school and became an actor.",-1
skeleton,We found an old sheep skeleton up on the cliffs.,-1
flocked,Hundreds of people flocked to the football match.,-1
dory,"I regret to say that one dory sank with the loss of two lives.

From the Hansard archive",-1
eulogize,Critics everywhere have eulogized her new novel.,-1
fictionalize,a fictionalized account of the life of St Francis,-1
chorus,I’ll sing the verses and I’d like you all to join in the chorus.,-1
manic,He’s kind of manic - I wish he’d calm down.,-1
generator,The hospital’s emergency generators are designed to cope with power cuts.,-1
disciplinary,disciplinary measures/action (= punishment),-1
choppy,Her hair was cut in a choppy bob.,-1
recap,"Finally, the teacher recapped the main points of the lesson.",-1
frisky,It’s a beautiful horse but a bit too frisky for an inexperienced rider.,-1
blond,"Do you think she’s a natural blonde, or is her hair bleached?",-1
flamenco,flamenco music/dancers,-1
gurgle,The baby lay gurgling in her cot.,-1
factual,"She gave a clear, factual account of the attack to the police.",-1
sheathe,The landscape was sheathed in ice.,-1
mammoth,Cleaning up the city-wide mess is going to be a mammoth task.,-1
rumba,"And historically did other dances like danzón, son, rumba, tango, samba, also pose such issues before they were ’cleaned up’?",-1
confidentiality,patient/client confidentiality,-1
saddle,He swung himself into the saddle and rode off.,-1
downswing,She predicted that the GDP will fall only moderately during the downswing in the economic cycle.,-1
sycophant,The prime minister is surrounded by sycophants.,-1
tera-,a terawatt,-1
tarry,The boy tarried awhile.,-1
demonstrating,These numbers clearly demonstrate the size of the economic problem facing the country.,-1
tartan,a tartan kilt,-1
elevator,I took the elevator to her office on the fourteenth floor.,-1
humanism,humanist beliefs/writers/ideas,-1
sedition,He himself was tried for sedition and sentenced to ten years in jail.,-1
surveyor,It took a team of surveyors about three months to lay out this part of the new highway.,-1
ferociously,A female lion defends her young ferociously.,-1
legislate,They promised to legislate against cigarette advertising.,-1
arching,Trees arch over the river.,-1
wordsmith,"In today’s review section Anthony Edwards, playwright, poet, novelist and general wordsmith, talks about his glittering career.",-1
flunk,I flunked my Biology exam.,-1
dramaturgy,The second act is weaker in terms of dramaturgy.,-1
drubbing,Norwich got/received/took a severe drubbing at the hands of Manchester United.,-1
serving,serving and retired military officers,-1
showy,a showy production of a play,-1
seminary,"At the same time the seminaries, dependent on state subsidies following the secularization of church lands, went into decline.",-1
intestinal,intestinal surgery,-1
improbable,It’s highly improbable that Norris will agree.,-1
wadding,"The chandelier arrived in a big box, tightly packed around in wadding.",-1
proposing,I propose that we wait until the budget has been announced before committing ourselves to any expenditure.,-1
allowing,Do you think Dad will allow you to go to Jamie’s party?,-1
infatuation,It’s just an infatuation. She’ll get over it.,-1
alphabetize,Is there a standard way to alphabetize abbreviations?,-1
tectonic,the motion of the earth’s tectonic plates (= sections of the planet’s surface),-1
ring,The game involved throwing metal rings over a stick.,-1
passer-by,"The gunmen opened fire, killing a policeman and a passer-by.",-1
bastardize,a bastardized form of the word/language,-1
intuitively,I knew intuitively that something dreadful had happened to him.,-1
forebear,"It is, indeed, rare in these days to find gentlemen as familiar as were their forebears with Latin and Greek.",-1
unsupported,unsupported allegations,-1
steerage,She had come to America in steerage.,-1
semicircular,The chairs were placed in a semicircular arrangement.,-1
paraben,Parabens are used as preservatives in cosmetics and food.,-1
acquit,She was acquitted of all the charges against her.,-1
sultan,the Sultan of Brunei,-1
whittle,"An old sailor sat on the dockside, whittling a toy boat.",-1
courseware,Students have access to their courseware over the internet.,-1
calico,Hospitalized servicemen wore an approximation of uniform in blue calico.,-1
bodice,She was wearing a ballgown with a fitted bodice.,-1
cyclical,Changes in the economy have followed a cyclical pattern.,-1
implant,The owner’s name and address is stored on a microchip and implanted in the dog’s body.,-1
diagonal,The book has a diagonal black stripe on the cover.,-1
whiz,Everyone knows at least one computer whiz.,-1
woke,She urged young black people to stay woke.,-1
contributory,The company offers a contributory pension plan (= one to which both the employee and employer pay money).,-1
armload,Imagine struggling down the grocery aisle carrying an armload of cans and boxes.,-1
twisty,"Basically, the village runs down a long and twisty hill.

From the Hansard archive",-1
squabble,Polly and Susie were having a squabble about who was going to hold the dog’s lead.,-1
keel,High oil prices are making it difficult to keep the economy and inflation on an even keel.,-1
monopolize,The company had monopolized the photography market for so many decades that they didn’t worry about competition from other companies.,-1
hesitancy,The president is not known for his hesitancy in such matters.,-1
eschewing,We won’t have discussions with this group unless they eschew violence.,-1
aggravate,Attempts to restrict parking in the city centre have further aggravated the problem of traffic congestion.,-1
lotion,suntan lotion,-1
intervening,"It was a long time since my last visit to Berlin, and it had changed dramatically in the intervening period/years.",-1
backstage,We went backstage after the show to meet the actors.,-1
loggerhead,"Loggerhead turtles are named for their large heads that support powerful jaw muscles, allowing them to crush hard-shelled prey like clams.",-1
energize,I felt very energized after my holiday.,-1
railing,Tourists pressed their faces against the palace railings.,-1
apprenticeship,"Traditionally, the Japanese learn a job or a skill through a long training course called an apprenticeship.",-1
caramel,chocolates with caramel centres,-1
fleece,My jacket is lined with fleece/is fleece-lined.,-1
adherence,He was noted for his strict adherence to the rules.,-1
lawful,Judge Keenan concluded that the surveillance had been lawful.,-1
straggler,"We watched the last of the stragglers come in, three hours after the first runner.",-1
bindi,Many of my Hindu friends wear bindis to parties.,-1
safeguarding,The safeguarding and welfare of children is our main priority.,-1
moved,"When she told me about her daughter’s death, I was too moved even to speak.",-1
hunker down,"We hunkered down around the campfire, toasting marshmallows.",-1
whacky,The place is stuffed with whacky memorabilia like a sculpture of the Seven Dwarfs that Walt Disney gave to Debbie Reynolds.,-1
garrulous,I had talked too much about myself and felt like a garrulous old fool.,-1
recapitulation,"This was all worked out prior to the synthesis to provide a musically coherent structure - one with an introduction, development, climax and recapitulation.",-1
pullover,"By ’new raincoats and pullovers’, the design team refers to a principle of over-cladding of existing building envelope elements.",-1
considerate,It wasn’t very considerate of you to drink all the milk.,-1
otherworldly,"The children in the picture look delicate and otherworldly, as though they had never run or played.",-1
reinvigorate,"His beliefs, both political and religious, seem to reinvigorate him.",-1
seamy,The film vividly portrays the seamy side of life in London in the early 1970s.,-1
valiantly,These soldiers have fought valiantly for the nation.,-1
disservice,She has done a great disservice to her cause by suggesting that violence is justifiable.,-1
sanitary,Cholera thrives in poor sanitary conditions.,-1
exclusivity,grant/lose/retain exclusivity (on sth) The company which developed the hardware was granted one-year exclusivity on the retails sales.,-1
hiss,Why do snakes hiss?,-1
seattle,The couple are now living in Seattle.,-1
hanger,"People carried roses, coat hangers, and all sorts of things.",-1
judgmental,You must try not to be so judgmental about people.,-1
slimy,"Although snakes look slimy, their skin is actually dry to the touch.",-1
metered,Britain’s water companies are planning to meter water consumption.,-1
yearbook,The ILO’s yearbook of statistics shows that Americans are overworked by international standards.,-1
estrange,Her lifestyle estranged her from her parents.,-1
freakish,Freakish weather conditions have caused massive traffic jams in the area.,-1
hypnotize,She agreed to be hypnotized to try to remember what had happened.,-1
squalor,These people are forced to live in squalor.,-1
playhouse,the La Jolla Playhouse in San Diego,-1
noxious,They died from inhaling noxious fumes.,-1
aftershock,The initial earthquake was followed by a series of aftershocks.,-1
conservancy,"He created the 25 million-acre Sierra Nevada Conservancy, the biggest nature conservancy in the state.",-1
exuberant,"Young and exuberant, he symbolizes Italy’s new vitality.",-1
clinch,I hear he finally clinched the deal to buy the land he wanted.,-1
shooter,The area is a paradise for duck shooters.,-1
inimical,Excessive managerial control is inimical to creative expression.,-1
intuitive,an intuitive approach/judgment,-1
effusive,They gave us such an effusive welcome it was quite embarrassing.,-1
foresaw,"Additionally, the government foresaw that forthcoming population aging would only make matters worse.",-1
rubbished,Why does everyone rubbish my ideas?,-1
personalized,His car has a personalized number plate - TJ 1.,-1
flamboyance,Her flamboyance annoys some people but delights others.,-1
hamburger,Go anywhere in the world and you’ll find some sort of hamburger restaurant.,-1
sanctified,a practice sanctified by many years of tradition,-1
clobber,"If you do that again, I’ll clobber you (one).",-1
balustrade,"However, in addition to the two entrance passages, a low open balustrade runs under the entire length of the fully glazed roof.",-1
bewilderment,a state of bewilderment,-1
caricatured,Charles Dickens caricatured lawyers (= represented them in a way that made them look silly) in several of his novels.,-1
propitiation,The purpose of these sculptures was propitiation of the gods.,-1
vindicate,The decision to include Morris in the team was completely vindicated when he scored two goals.,-1
backseat,Nelson will never take a backseat to anyone.,-1
centrifugal,centrifugal force,-1
complying,"He’s been ordered to have the dog destroyed because it’s dangerous, but he refuses to comply.",-1
infringing,They infringed building regulations.,-1
accepting,Do you accept credit cards?,-1
weakened,You could see the poor dog weakening daily as the disease spread through its body.,-1
consignment,The most recent consignment of cloth was faulty.,-1
pageantry,She loved the pageantry and tradition of the monarchy.,-1
meddler,Critics of the war are hypocritical meddlers.,-1
derring-do,deeds/feats of derring-do,-1
epigraph,"It would give wide latitude to a witty remark, which has become proverbial, to make it the epigraph of these memoirs.",-1
numberless,numberless stars,-1
scrubbing,"The single wheel has three resistance forces during the steering - the contact frictional force, the wheel rolling resistance and the scrubbing torque.",-1
walloping,He cut me a walloping (great) slice of cake.,-1
wadi,"Readers will appreciate the thumbnail accounts of tribes and towns and the maps of mountain ranges, plateaus, wadis, and sub-regions with their primary settlements.",-1
fruition,None of his grand plans for a TV series ever came to fruition.,-1
flailing,A wasp came towards us and Howard started flailing his arms around.,-1
spacecraft,a manned/unmanned spacecraft (= with/without people inside),-1
soulless,a soulless building of grey concrete,-1
kitchenware,"Here again, they were not taxed, but now they come into the class of kitchenware that is to be taxed.

From the Hansard archive",-1
subgroup,The Chinese make up the largest Asian subgroup.,-1
posse,The disgraced minister walked swiftly from the car to his house pursued by a whole posse of reporters.,-1
marijuana,The were convicted of possessing large quantities of marijuana.,-1
tessellate,"Among regular figures (equal length sides, equal angles), there are just three shapes that tessellate in this way: squares, equilateral triangles and hexagons.",-1
wizardry,"Using their high-tech wizardry, the police were able to locate the owners of the stolen property within hours of it being seized.",-1
pigeonhole,Leave the report in my pigeonhole when you’ve read it.,-1
canvassing,I’ve been out canvassing for the Labour Party every evening this week.,-1
moisturize,You should tone and moisturize every day.,-1
energize,I felt very energized after my holiday.,-1
cenotaph,The wood of the cenotaph is splitting and filling and sealing is called for.,-1
cryptic,I got a cryptic text message from Sam.,-1
plover,"The bird fauna is dominated by plovers and passerines while waterfowl (geese, ducks, and loons) are found only in river valleys and on lakes.",-1
slavish,a slavish devotion to duty,-1
decoction,"Breafast was hard-tack and a decoction of coffee made from either sweet potatoes or beans.

From Wikipedia",-1
duchess,the Duchess of Kent,-1
inspirational,He gave an inspirational reading of his own poems.,-1
irradiation,X-rays are a form of irradiation.,-1
gyration,Push your hips back and forth and avoid circular gyration.,-1
booming,a booming voice,-1
henna,Is her hair hennaed or is that a natural red?,-1
pacemaker,The use of the mobile phone on the opposite side of the pacemaker’s location reduces the probability of interference.,-1
protestation,"Ignoring my protestations, they went ahead and chopped the tree down.",-1
unceasingly,He worked unceasingly for international childrens’ charities.,-1
abdication,The council denied that their decision represented any abdication of responsibility.,-1
indestructible,These plastic cups are virtually indestructible.,-1
orchestrate,Their victory was largely a result of their brilliantly orchestrated election campaign.,-1
massively,The film is a massively ambitious project.,-1
yearlong,The course is a standard yearlong introduction to Western civilization.,-1
rancorous,a rancorous dispute,-1
reformation,He’s undergone something of a reformation - he’s a changed man.,-1
impaired,She attended a school for the visually impaired (= people who cannot see well).,-1
wisecrack,He made some wisecrack about my lack of culinary ability.,-1
consonance,Martin Luther King’s vision of consonance still seems radical.,-1
guarantor,The armed forces see themselves as the guarantors of free elections in the country.,-1
byword,Their products are a byword for good value.,-1
aggravated,Attempts to restrict parking in the city centre have further aggravated the problem of traffic congestion.,-1
wallop,She walloped him across the back of the head.,-1
persona,"He had a shy, retiring side to his personality that was completely at odds with his public persona.",-1
emblazon,Her name was emblazoned across the front of the theatre.,-1
entwine,The picture captures the two lovers with their arms entwined.,-1
undone,Why didn't you tell me my zip was undone!,-1
unerring,He has an unerring talent for writing catchy melodies.,-1
awakened,They were awakened by the sound of gunfire.,-1
alto,"She began by singing soprano, then changed to alto.",-1
amplitude,The sheer amplitude of the novel invites comparisons with Tolstoy.,-1
cull,The plan to cull large numbers of baby seals has angered environmental groups.,-1
scathing,scathing criticism,-1
kaleidoscopic,The answer to this question is reflected in the kaleidoscopic nature of this volume.,-1
zigzag,a zigzag path/road/coastline,-1
small print,Don't sign anything until you've read the small print.,-1
interrelated,interrelated problems/issues/activities,-1
gobble,She gobbled her dinner (down/up).,-1
forage,"The children had been living on the streets, foraging for scraps.",-1
roller,As the hot metal passed between the huge rollers it was pressed into thin sheets.,-1
seductively,She once posed seductively for a men’s magazine.,-1
modernization,The modernization of the 100-year-old sewage and water systems will cost millions of pounds.,-1
deceit,"The story is about theft, fraud, and deceit on an incredible scale.",-1
embattled,an embattled government,-1
caliber,It’s not easy to recruit high caliber personnel.,-1
figured,We figured (that) you’d want to rest after your trip.,-1
lobbyist,Lobbyists for the tobacco industry have expressed concerns about the restriction of smoking in public places.,-1
breakfasting,She usually breakfasts alone.,-1
hobnob,"She often has her picture in the papers, hobnobbing with the rich and famous.",-1
curveball,Every so often life will throw you a curveball.,-1
predictability,"Although her job is boring and monotonous, she likes the sense of predictability and security that it gives her.",-1
the beau monde,"He was seated on a big boulder at the roadside, enjoying the shade, and was evidently on his way by foot to the Castle gates to watch the beau monde assembling for the review.",-1
stamen,One cannot but admire the author’s courage and stamina.,-1
railhead,New piers and railheads will be a great asset in allowing more timber to be transported by sea and by rail.,-1
abounding,Theories abound about how the universe began.,-1
va-va-voom,He was elegantly dressed but he just did not have that va-va-voom.,-1
coyote,As they talked they heard the coyotes barking in the distance.,-1
peerage,She was given a peerage.,-1
groundwork,The committee will meet today to lay the groundwork for inter-party talks next month.,-1
outsource,Unions are fighting a plan by the university to outsource all non-academic services.,-1
welcoming,She gave everyone a welcoming smile.,-1
pretension,The Chronicle has pretensions to being a serious newspaper.,-1
behemoth,a grocery chain behemoth,-1
evanescent,"About a sudden hillside, brilliantly blue, the evanescent mist hung over the heavy fronds, going out in the sunlight that was breaking through a grey sky.",-1
corroborating,corroborating evidence/reports,-1
beaten,She was wearing a necklace of beaten gold.,-1
degradation,environmental degradation,-1
underrated,He is one of Hollywood’s most underrated actors (= He is much better than people think).,-1
clicking,"If you want to open a file, click twice on the icon for it.",-1
brazen,brazen cheating,-1
obtainable,Information on the subject is easily obtainable on the internet.,-1
artful,He has shown himself to be an artful politician.,-1
exorcise,"After the priest exorcised the spirit/house/child, apparently, the strange noises stopped.",-1
chardonnay,"Alan sat down on the twig-chair on his front porch, pulled up the matching twig table, and set down a wine glass and the bottle of Niagara Chardonnay he’d brought up from the cellar.",-1
visualization,She spent 25 years developing self-help techniques which involve meditation and visualization.,-1
proprietary,I just assumed he owned the place - he had a proprietary air about him.,-1
misrepresenting,She accused her opponents of deliberately misrepresenting her as an extremist.,-1
congressman,He was accused of perjury by a Republican congressman.,-1
fairy,Do you believe in fairies?,-1
solipsism,"Ground-level conditions change, despite norms, and solipsism hardly spells success.",-1
remand,He was remanded on theft charges.,-1
copiously,We ate and drank copiously at the party.,-1
diversion,Traffic diversions will be kept to a minimum throughout the festival.,-1
bonanza,The rise in house prices meant that those who were selling enjoyed a bonanza.,-1
predictive,The test has a predictive accuracy of 95%.,-1
exploitative,"Other exploitative human activity based in utilitarianism is not crass or all so obviously wrong, especially in today’s context.",-1
stargazer,"Thus, it is usually more practical for amateur stargazers to use the celestial quadrants.

From Wikipedia",-1
crisply,He always wore crisply pressed trousers.,-1
indent,Each new paragraph should be indented about two centimetres from the margin.,-1
exploiting,We need to make sure that we exploit our resources as fully as possible.,-1
anthropology,anthropological research/fieldwork,-1
incorporated,Bishop Computer Services Incorporated,-1
teflon,The Teflon President survived the crisis with his reputation intact.,-1
evoking,That smell always evokes memories of my old school.,-1
avowal,They were imprisoned for their avowal of anti-government beliefs.,-1
believed,"Strangely, no one believed us when we told them we’d been visited by a creature from Mars.",-1
brackish,The bank of the stream was a fathom from the water which was brackish at high tide and sweet at low.,-1
unwelcoming,The house was damp and unwelcoming.,-1
yachting,"He thus invites his wife on a yachting trip and, once they are out to sea, pushes her over the side.",-1
authenticate,They used carbon dating tests to authenticate the claim that the skeleton was two million years old.,-1
anthropology,anthropological research/fieldwork,-1
patronizing,It’s that patronizing tone of hers that I can’t bear.,-1
goading,She seemed determined to goad him into a fight.,-1
scrutinize,"He scrutinized the men’s faces carefully/closely, trying to work out who was lying.",-1
notoriety,He achieved/gained notoriety for being difficult to work with as an actor.,-1
harmoniously,We worked together very harmoniously.,-1
adding,If you add (= calculate the total of) three and four you get seven.,-1
petulance,I have never witnessesed such a display of childish petulance.,-1
footnote,His tumultuous triumph five years ago now seems like little more than a footnote in history.,-1
runaround,"I’m trying to get a new visa, but the embassy staff keep giving me the runaround.",-1
battleground,Pennsylvania and Ohio are key battlegrounds in this year’s election.,-1
herculean,a Herculean effort,-1
prow,"These councils contain official and unofficial members and the latter are boat with a prow shaped like a dragon, raced sometimes referred to as ’unofficials’.",-1
contour,the rugged contour of the coast,-1
threaded,to thread a needle,-1
piping,Contrasting fabric was used for the cushion’s piping.,-1
indigence,"There is a reason you see someone riding a second-rate bike, and it's not indigence.",-1
leer,He was always leering at female members of staff.,-1
corrode,Steel tends to corrode faster in a salty atmosphere.,-1
catchword,"A hundred catchwords, a thousand raised voices, and not one cool head to realize that war is not a game.",-1
depreciation,accelerated depreciation,-1
armored,an armored personnel carrier,-1
unvarnished,You don’t expect a politician to tell you the unvarnished truth.,-1
relaunch,The cinema complex marked its relaunch after a £50 million redevelopment.,-1
illogical,"It is an illogical statement, because if one part is true, then the other must be false.",-1
deactivate,All chemical weapons facilities will be deactivated.,-1
characterization,The plots in her books are very strong but there’s almost no characterization.,-1
thoroughness,You can rely on the thoroughness of his research.,-1
individualism,Her approach is highly individualistic and may not be suitable for everyone.,-1
peaking,Official figures show that unemployment peaked in November.,-1
unguarded,You shouldn’t leave your bag unguarded like that.,-1
rolltop desk,"Because it was produced in vast numbers and at varying levels of quality, the rolltop desk is popular in the antique market.

From Wikipedia",-1
biz,the entertainment/movie/music biz,-1
uncleared effects,The bank expressly reserved the right to postpone payment of cheques drawn against uncleared effects.,-1
regionalism,"""Spider"" is a New England regionalism for a type of frying pan.",-1
guile,The president will need to use all her political guile to stay in power.,-1
housefly,"Any circumstance which increased the population of houseflies, and their ability to survive from one year to the next, could only have made matters worse.",-1
nighttime,It’s pretty noisy at nighttime.,-1
retreating,Attacks by enemy aircraft forced the tanks to retreat (from the city).,-1
fable,the fable of the tortoise and the hare,-1
retrofit,A state program to retrofit engines with pollution controls has succeeded in reducing pollution from trains.,-1
distill,distilled water/whiskey,-1
misreport,The magazine misreported its sales figures in order to boost advertising revenue.,-1
elevation,"This plan shows the front, side, and back elevations of the new supermarket.",-1
lightweight,I need a lightweight jacket for the summer evenings.,-1
rani,They also differentiated between manure which had been stored since its production during the previous rainy season (takin shekarare) and that produced during the dry season (takin rani).,-1
swirl,Swirl a little oil around the frying pan.,-1
